residue_type,atom_name,mean_angle,std_angle,count
HIS,CD2,107.02527750223835,0.8948942685186974,8962
HIS,CE1,108.73856109014088,1.1078811782329094,8962
HIS,CG,106.55743952181633,1.065036583887972,8962
HIS,ND1,108.82263876803204,1.2123942279761444,8962
HIS,NE2,108.8366633168883,1.073049490213602,8962
PHE,CD1,120.75111790927924,0.8092794058917188,13239
PHE,CD2,120.72363033975726,0.8263159346304562,13239
PHE,CE1,119.85521446547709,0.7725703855529823,13239
PHE,CE2,119.88270465640495,0.7588634148700606,13239
PHE,CG,118.85584980731514,0.9563351983578045,13239
PHE,CZ,119.8801774098762,0.8853557975274954,13239
PRO,CA,103.48043824975299,1.2920442119529043,14979
PRO,CB,104.03088809046092,1.6991378064183618,14979
PRO,CD,102.82977599189945,1.3633616163352575,14979
PRO,CG,104.16986152179521,2.499803606094724,14979
PRO,N,111.23960540000826,1.2492871567751822,14979
TRP,CD1,109.81036956975615,1.3258856387830846,6567
TRP,CD2,134.13043134324394,1.1694762887370749,6567
TRP,CE2,130.1721208240999,0.8414799980195566,6567
TRP,CE3,118.70509220179275,0.6196641478287122,6567
TRP,CG,106.67246757933123,1.5898049800204725,6567
TRP,CH2,121.4121012680671,0.5851311537097337,6567
TRP,CZ2,117.52490569401195,0.6727380201189479,6567
TRP,CZ3,121.07196220592017,0.611456081875043,6567
TRP,NE1,109.09651250083984,0.7437942517952896,6567
TYR,CD1,121.0019440896638,0.6853774033140774,15597
TYR,CD2,121.0488216869981,0.6677876620806562,15597
TYR,CE1,119.51660235990805,0.6216825761175367,15597
TYR,CE2,119.53218124750198,0.5996393026402156,15597
TYR,CG,118.41360982124041,0.84218052431618,15597
TYR,CZ,120.45279788717171,0.7224942582053357,15597
